Brand,Subject Common Name,Subject organization Name,Subject countryName ,Subject state ProvinceName ,Subject localityName,Issuer Common Name,Issuer organization Name,Issuer countryName ,Brand impersonation
Microsoft,fun-creators.net,N/A,N/A,N/A,N/A,R13,Let's Encrypt,US,1
Microsoft,office.auto-o365feb18211.pocpop156.myshn.net,Skyhigh Security,US,Texas,Plano,GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,BE,1
Microsoft,connectmsdx.com,N/A,N/A,N/A,N/A,R13,Let's Encrypt,US,1
Microsoft,fun-creators.net,N/A,N/A,N/A,N/A,R13,Let's Encrypt,US,1
Microsoft,office.auto-o365feb18211.pocpop156.myshn.net,Skyhigh Security,US,Texas,Plano,GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,BE,1
Microsoft,fun-creators.net,N/A,N/A,N/A,N/A,R13,Let's Encrypt,US,1
Microsoft,*.grupo-conde.com,N/A,N/A,N/A,N/A,R12,Let's Encrypt,US,1
Microsoft,office.auto-o365feb18211.pocpop156.myshn.net,Skyhigh Security,US,Texas,Plano,GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,BE,1
Microsoft,fun-creators.net,N/A,N/A,N/A,N/A,R13,Let's Encrypt,US,1
Microsoft,fun-creators.net,N/A,N/A,N/A,N/A,R13,Let's Encrypt,US,1
Microsoft,higginscabinat.com,N/A,N/A,N/A,N/A,E8,Let's Encrypt,US,1
Microsoft,higginscabinat.com,N/A,N/A,N/A,N/A,E8,Let's Encrypt,US,1
Microsoft,higginscabinat.com,N/A,N/A,N/A,N/A,E8,Let's Encrypt,US,1
Microsoft,aixistance.cloudaix.de,N/A,N/A,N/A,N/A,R13,Let's Encrypt,US,1
Microsoft,fun-creators.net,N/A,N/A,N/A,N/A,R13,Let's Encrypt,US,1
Microsoft,office.auto-o365feb18211.pocpop156.myshn.net,Skyhigh Security,US,Texas,Plano,GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,BE,1
Microsoft,terbit303.com,N/A,N/A,N/A,N/A,E8,Let's Encrypt,US,1
Microsoft,*.stivuitoare-bucuresti.ro,N/A,N/A,N/A,N/A,R13,Let's Encrypt,US,1
Microsoft,*.grupo-conde.com,N/A,N/A,N/A,N/A,R12,Let's Encrypt,US,1
Microsoft,gt-industries.com,N/A,N/A,N/A,N/A,WE1,Google Trust Services,US,1
Microsoft,solutionfun.info,N/A,N/A,N/A,N/A,Amazon RSA 2048 M03,Amazon,US,1
Microsoft,fun-creators.net,N/A,N/A,N/A,N/A,R13,Let's Encrypt,US,1
Microsoft,office.auto-o365feb18211.pocpop156.myshn.net,Skyhigh Security,US,Texas,Plano,GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,BE,1
Microsoft,us-ord-1.linodeobjects.com,N/A,N/A,N/A,N/A,R13,Let's Encrypt,US,1
Microsoft,office.auto-o365feb18211.pocpop156.myshn.net,Skyhigh Security,US,Texas,Plano,GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,BE,1
Microsoft,fun-creators.net,N/A,N/A,N/A,N/A,R13,Let's Encrypt,US,1
Microsoft,steelheadincs.com,N/A,N/A,N/A,N/A,E8,Let's Encrypt,US,1
Microsoft,fun-creators.net,N/A,N/A,N/A,N/A,R13,Let's Encrypt,US,1
